subject	 trial	 image1	 image1tex	 image1shape	 image1scene	 image2	 image2tex	 image2shape	 image2scene	 answer	 RT	
6	 1	 15	 0	 2	 1	 16	 1	 2	 1	 1	 2410.72	 
6	 2	 2	 1	 0	 0	 8	 1	 1	 0	 0	 1480.99	 
6	 3	 16	 1	 2	 1	 7	 0	 1	 0	 1	 1713.92	 
6	 4	 9	 0	 1	 1	 1	 0	 0	 0	 0	 1384.10	 
6	 5	 5	 0	 0	 2	 18	 1	 2	 2	 0	 1551.03	 
6	 6	 16	 1	 2	 1	 13	 0	 2	 0	 1	 1377.06	 
6	 7	 18	 1	 2	 2	 4	 1	 0	 1	 0	 1711.46	 
6	 8	 13	 0	 2	 0	 18	 1	 2	 2	 1	 2044.58	 
6	 9	 1	 0	 0	 0	 3	 0	 0	 1	 1	 1553.75	 
6	 10	 12	 1	 1	 2	 5	 0	 0	 2	 1	 2334.50	 
6	 11	 10	 1	 1	 1	 8	 1	 1	 0	 1	 1472.74	 
6	 12	 5	 0	 0	 2	 13	 0	 2	 0	 0	 1398.85	 
6	 13	 16	 1	 2	 1	 18	 1	 2	 2	 1	 1199.60	 
6	 14	 1	 0	 0	 0	 2	 1	 0	 0	 1	 1194.82	 
6	 15	 6	 1	 0	 2	 16	 1	 2	 1	 0	 1456.76	 
6	 16	 1	 0	 0	 0	 1	 0	 0	 0	 1	 1143.33	 
6	 17	 16	 1	 2	 1	 11	 0	 1	 2	 1	 1368.99	 
6	 18	 8	 1	 1	 0	 7	 0	 1	 0	 1	 1067.62	 
6	 19	 13	 0	 2	 0	 5	 0	 0	 2	 0	 1691.63	 
6	 20	 13	 0	 2	 0	 17	 0	 2	 2	 1	 1519.06	 
6	 21	 16	 1	 2	 1	 15	 0	 2	 1	 1	 1124.85	 
6	 22	 9	 0	 1	 1	 6	 1	 0	 2	 0	 2034.72	 
6	 23	 7	 0	 1	 0	 9	 0	 1	 1	 1	 1410.13	 
6	 24	 10	 1	 1	 1	 12	 1	 1	 2	 1	 1065.87	 
6	 25	 6	 1	 0	 2	 5	 0	 0	 2	 1	 1170.44	 
6	 26	 5	 0	 0	 2	 6	 1	 0	 2	 1	 1292.23	 
6	 27	 14	 1	 2	 0	 11	 0	 1	 2	 1	 1326.26	 
6	 28	 12	 1	 1	 2	 1	 0	 0	 0	 1	 2163.96	 
6	 29	 12	 1	 1	 2	 4	 1	 0	 1	 0	 1415.05	 
6	 30	 15	 0	 2	 1	 11	 0	 1	 2	 1	 1932.54	 
6	 31	 17	 0	 2	 2	 15	 0	 2	 1	 1	 1042.58	 
6	 32	 2	 1	 0	 0	 11	 0	 1	 2	 1	 2083.32	 
6	 33	 2	 1	 0	 0	 10	 1	 1	 1	 0	 1746.48	 
6	 34	 16	 1	 2	 1	 3	 0	 0	 1	 1	 1610.28	 
6	 35	 6	 1	 0	 2	 18	 1	 2	 2	 1	 1359.30	 
6	 36	 16	 1	 2	 1	 2	 1	 0	 0	 0	 1475.04	 
6	 37	 18	 1	 2	 2	 15	 0	 2	 1	 1	 1365.42	 
6	 38	 8	 1	 1	 0	 12	 1	 1	 2	 1	 1165.25	 
6	 39	 5	 0	 0	 2	 16	 1	 2	 1	 0	 1558.56	 
6	 40	 2	 1	 0	 0	 13	 0	 2	 0	 0	 1150.01	 
6	 41	 14	 1	 2	 0	 8	 1	 1	 0	 0	 1108.47	 
6	 42	 11	 0	 1	 2	 6	 1	 0	 2	 1	 1715.71	 
6	 43	 8	 1	 1	 0	 15	 0	 2	 1	 0	 1229.12	 
6	 44	 9	 0	 1	 1	 3	 0	 0	 1	 1	 1290.61	 
6	 45	 3	 0	 0	 1	 5	 0	 0	 2	 1	 1140.91	 
6	 46	 11	 0	 1	 2	 1	 0	 0	 0	 1	 1083.83	 
6	 47	 2	 1	 0	 0	 15	 0	 2	 1	 0	 1140.98	 
6	 48	 18	 1	 2	 2	 2	 1	 0	 0	 0	 1515.20	 
6	 49	 11	 0	 1	 2	 8	 1	 1	 0	 1	 1408.89	 
6	 50	 15	 0	 2	 1	 2	 1	 0	 0	 0	 1244.42	 
6	 51	 4	 1	 0	 1	 5	 0	 0	 2	 1	 1356.14	 
6	 52	 5	 0	 0	 2	 9	 0	 1	 1	 0	 1676.61	 
6	 53	 3	 0	 0	 1	 16	 1	 2	 1	 1	 1769.69	 
6	 54	 5	 0	 0	 2	 3	 0	 0	 1	 1	 1087.84	 
6	 55	 13	 0	 2	 0	 3	 0	 0	 1	 1	 976.93	 
6	 56	 17	 0	 2	 2	 8	 1	 1	 0	 0	 1160.72	 
6	 57	 7	 0	 1	 0	 12	 1	 1	 2	 0	 2121.32	 
6	 58	 18	 1	 2	 2	 18	 1	 2	 2	 1	 1337.93	 
6	 59	 2	 1	 0	 0	 14	 1	 2	 0	 0	 1523.81	 
6	 60	 14	 1	 2	 0	 1	 0	 0	 0	 0	 1515.53	 
6	 61	 9	 0	 1	 1	 15	 0	 2	 1	 1	 1323.49	 
6	 62	 17	 0	 2	 2	 9	 0	 1	 1	 1	 1187.21	 
6	 63	 10	 1	 1	 1	 18	 1	 2	 2	 0	 1184.82	 
6	 64	 12	 1	 1	 2	 14	 1	 2	 0	 0	 1294.16	 
6	 65	 13	 0	 2	 0	 11	 0	 1	 2	 1	 1877.92	 
6	 66	 10	 1	 1	 1	 7	 0	 1	 0	 1	 1750.25	 
6	 67	 18	 1	 2	 2	 3	 0	 0	 1	 1	 2252.75	 
6	 68	 4	 1	 0	 1	 17	 0	 2	 2	 0	 1304.20	 
6	 69	 1	 0	 0	 0	 10	 1	 1	 1	 0	 1284.33	 
6	 70	 3	 0	 0	 1	 7	 0	 1	 0	 1	 1500.05	 
6	 71	 7	 0	 1	 0	 13	 0	 2	 0	 0	 1395.12	 
6	 72	 1	 0	 0	 0	 9	 0	 1	 1	 0	 2977.88	 
6	 73	 11	 0	 1	 2	 17	 0	 2	 2	 0	 1767.22	 
6	 74	 3	 0	 0	 1	 4	 1	 0	 1	 0	 1917.48	 
6	 75	 9	 0	 1	 1	 7	 0	 1	 0	 1	 1855.74	 
6	 76	 13	 0	 2	 0	 10	 1	 1	 1	 0	 1300.31	 
6	 77	 16	 1	 2	 1	 4	 1	 0	 1	 0	 1195.40	 
6	 78	 4	 1	 0	 1	 13	 0	 2	 0	 0	 1489.84	 
6	 79	 18	 1	 2	 2	 10	 1	 1	 1	 0	 1313.37	 
6	 80	 6	 1	 0	 2	 4	 1	 0	 1	 1	 1093.84	 
6	 81	 10	 1	 1	 1	 6	 1	 0	 2	 0	 1605.21	 
6	 82	 3	 0	 0	 1	 9	 0	 1	 1	 1	 1582.65	 
6	 83	 3	 0	 0	 1	 2	 1	 0	 0	 1	 1377.01	 
6	 84	 1	 0	 0	 0	 14	 1	 2	 0	 0	 2295.58	 
6	 85	 12	 1	 1	 2	 6	 1	 0	 2	 1	 1271.80	 
6	 86	 6	 1	 0	 2	 9	 0	 1	 1	 0	 1534.70	 
6	 87	 5	 0	 0	 2	 7	 0	 1	 0	 1	 1242.62	 
6	 88	 4	 1	 0	 1	 4	 1	 0	 1	 1	 890.94	 
6	 89	 7	 0	 1	 0	 1	 0	 0	 0	 1	 1288.32	 
6	 90	 9	 0	 1	 1	 2	 1	 0	 0	 0	 1218.72	 
6	 91	 2	 1	 0	 0	 5	 0	 0	 2	 1	 1178.26	 
6	 92	 1	 0	 0	 0	 11	 0	 1	 2	 0	 1254.09	 
6	 93	 14	 1	 2	 0	 15	 0	 2	 1	 1	 1248.35	 
6	 94	 14	 1	 2	 0	 5	 0	 0	 2	 0	 1232.17	 
6	 95	 7	 0	 1	 0	 8	 1	 1	 0	 1	 2043.09	 
6	 96	 4	 1	 0	 1	 6	 1	 0	 2	 1	 1541.13	 
6	 97	 15	 0	 2	 1	 14	 1	 2	 0	 1	 1449.94	 
6	 98	 17	 0	 2	 2	 13	 0	 2	 0	 1	 953.69	 
6	 99	 16	 1	 2	 1	 1	 0	 0	 0	 0	 1588.99	 
6	 100	 15	 0	 2	 1	 8	 1	 1	 0	 0	 1116.10	 
6	 101	 10	 1	 1	 1	 4	 1	 0	 1	 0	 1939.25	 
6	 102	 13	 0	 2	 0	 7	 0	 1	 0	 0	 1143.17	 
6	 103	 1	 0	 0	 0	 13	 0	 2	 0	 1	 1253.58	 
6	 104	 8	 1	 1	 0	 10	 1	 1	 1	 1	 1030.01	 
6	 105	 10	 1	 1	 1	 13	 0	 2	 0	 0	 988.89	 
6	 106	 15	 0	 2	 1	 18	 1	 2	 2	 1	 1106.60	 
6	 107	 1	 0	 0	 0	 12	 1	 1	 2	 0	 1395.91	 
6	 108	 6	 1	 0	 2	 3	 0	 0	 1	 1	 1183.32	 
6	 109	 13	 0	 2	 0	 1	 0	 0	 0	 1	 2043.62	 
6	 110	 12	 1	 1	 2	 3	 0	 0	 1	 0	 1677.79	 
6	 111	 11	 0	 1	 2	 14	 1	 2	 0	 0	 1573.92	 
6	 112	 1	 0	 0	 0	 4	 1	 0	 1	 1	 1764.74	 
6	 113	 18	 1	 2	 2	 7	 0	 1	 0	 0	 1836.64	 
6	 114	 6	 1	 0	 2	 14	 1	 2	 0	 0	 1622.62	 
6	 115	 15	 0	 2	 1	 12	 1	 1	 2	 0	 1102.58	 
6	 116	 12	 1	 1	 2	 13	 0	 2	 0	 0	 1361.06	 
6	 117	 8	 1	 1	 0	 14	 1	 2	 0	 0	 1211.49	 
6	 118	 2	 1	 0	 0	 1	 0	 0	 0	 1	 971.95	 
6	 119	 17	 0	 2	 2	 11	 0	 1	 2	 0	 1223.91	 
6	 120	 10	 1	 1	 1	 15	 0	 2	 1	 0	 1370.94	 
6	 121	 17	 0	 2	 2	 5	 0	 0	 2	 0	 1369.93	 
6	 122	 10	 1	 1	 1	 10	 1	 1	 1	 1	 1272.95	 
6	 123	 4	 1	 0	 1	 1	 0	 0	 0	 1	 1235.56	 
6	 124	 7	 0	 1	 0	 2	 1	 0	 0	 0	 1033.17	 
6	 125	 4	 1	 0	 1	 2	 1	 0	 0	 1	 970.29	 
6	 126	 5	 0	 0	 2	 5	 0	 0	 2	 1	 954.67	 
6	 127	 8	 1	 1	 0	 6	 1	 0	 2	 0	 887.25	 
6	 128	 18	 1	 2	 2	 13	 0	 2	 0	 0	 1048.43	 
6	 129	 4	 1	 0	 1	 8	 1	 1	 0	 0	 1421.04	 
6	 130	 1	 0	 0	 0	 5	 0	 0	 2	 1	 1235.51	 
6	 131	 11	 0	 1	 2	 9	 0	 1	 1	 1	 1200.82	 
6	 132	 14	 1	 2	 0	 3	 0	 0	 1	 0	 1376.95	 
6	 133	 4	 1	 0	 1	 14	 1	 2	 0	 0	 1043.08	 
6	 134	 8	 1	 1	 0	 1	 0	 0	 0	 0	 1065.36	 
6	 135	 17	 0	 2	 2	 14	 1	 2	 0	 1	 1169.60	 
6	 136	 13	 0	 2	 0	 6	 1	 0	 2	 0	 1013.13	 
6	 137	 15	 0	 2	 1	 13	 0	 2	 0	 1	 1181.28	 
6	 138	 8	 1	 1	 0	 13	 0	 2	 0	 0	 992.82	 
6	 139	 18	 1	 2	 2	 11	 0	 1	 2	 0	 1243.02	 
6	 140	 4	 1	 0	 1	 10	 1	 1	 1	 0	 1154.69	 
6	 141	 15	 0	 2	 1	 6	 1	 0	 2	 0	 1148.49	 
6	 142	 5	 0	 0	 2	 10	 1	 1	 1	 0	 1020.82	 
6	 143	 7	 0	 1	 0	 3	 0	 0	 1	 0	 1144.60	 
6	 144	 5	 0	 0	 2	 8	 1	 1	 0	 0	 1114.44	 
6	 145	 3	 0	 0	 1	 8	 1	 1	 0	 0	 1087.14	 
6	 146	 8	 1	 1	 0	 5	 0	 0	 2	 0	 993.19	 
6	 147	 9	 0	 1	 1	 8	 1	 1	 0	 1	 1796.05	 
6	 148	 13	 0	 2	 0	 8	 1	 1	 0	 0	 1215.40	 
6	 149	 5	 0	 0	 2	 11	 0	 1	 2	 1	 2879.97	 
6	 150	 2	 1	 0	 0	 17	 0	 2	 2	 0	 1247.09	 
6	 151	 15	 0	 2	 1	 3	 0	 0	 1	 0	 1160.88	 
6	 152	 8	 1	 1	 0	 18	 1	 2	 2	 1	 1299.27	 
6	 153	 14	 1	 2	 0	 12	 1	 1	 2	 0	 1169.05	 
6	 154	 17	 0	 2	 2	 18	 1	 2	 2	 0	 977.82	 
6	 155	 15	 0	 2	 1	 1	 0	 0	 0	 0	 1260.11	 
6	 156	 4	 1	 0	 1	 16	 1	 2	 1	 0	 1044.19	 
6	 157	 2	 1	 0	 0	 16	 1	 2	 1	 0	 1093.40	 
6	 158	 5	 0	 0	 2	 17	 0	 2	 2	 0	 1182.41	 
6	 159	 5	 0	 0	 2	 15	 0	 2	 1	 0	 1212.58	 
6	 160	 17	 0	 2	 2	 6	 1	 0	 2	 0	 1389.66	 
6	 161	 18	 1	 2	 2	 12	 1	 1	 2	 0	 1160.01	 
6	 162	 11	 0	 1	 2	 11	 0	 1	 2	 1	 1080.01	 
6	 163	 11	 0	 1	 2	 12	 1	 1	 2	 1	 1287.43	 
6	 164	 3	 0	 0	 1	 1	 0	 0	 0	 1	 1270.34	 
6	 165	 14	 1	 2	 0	 6	 1	 0	 2	 0	 1149.10	 
6	 166	 1	 0	 0	 0	 17	 0	 2	 2	 0	 1225.62	 
6	 167	 12	 1	 1	 2	 12	 1	 1	 2	 1	 1020.41	 
6	 168	 15	 0	 2	 1	 5	 0	 0	 2	 0	 953.03	 
6	 169	 3	 0	 0	 1	 6	 1	 0	 2	 1	 939.81	 
6	 170	 15	 0	 2	 1	 15	 0	 2	 1	 1	 1375.08	 
6	 171	 12	 1	 1	 2	 2	 1	 0	 0	 0	 1156.86	 
6	 172	 16	 1	 2	 1	 10	 1	 1	 1	 0	 1181.26	 
6	 173	 9	 0	 1	 1	 11	 0	 1	 2	 1	 1706.24	 
6	 174	 7	 0	 1	 0	 11	 0	 1	 2	 1	 970.47	 
6	 175	 10	 1	 1	 1	 9	 0	 1	 1	 1	 1374.43	 
6	 176	 5	 0	 0	 2	 2	 1	 0	 0	 1	 1138.96	 
6	 177	 11	 0	 1	 2	 18	 1	 2	 2	 0	 1003.46	 
6	 178	 8	 1	 1	 0	 16	 1	 2	 1	 0	 1153.83	 
6	 179	 2	 1	 0	 0	 3	 0	 0	 1	 1	 1480.37	 
6	 180	 7	 0	 1	 0	 17	 0	 2	 2	 0	 1504.31	 
6	 181	 8	 1	 1	 0	 9	 0	 1	 1	 1	 1128.60	 
6	 182	 4	 1	 0	 1	 18	 1	 2	 2	 0	 966.62	 
6	 183	 2	 1	 0	 0	 18	 1	 2	 2	 0	 1102.67	 
6	 184	 15	 0	 2	 1	 10	 1	 1	 1	 0	 1075.57	 
6	 185	 11	 0	 1	 2	 16	 1	 2	 1	 0	 1127.60	 
6	 186	 2	 1	 0	 0	 4	 1	 0	 1	 1	 1069.00	 
6	 187	 11	 0	 1	 2	 4	 1	 0	 1	 0	 1042.81	 
6	 188	 10	 1	 1	 1	 17	 0	 2	 2	 0	 1146.28	 
6	 189	 3	 0	 0	 1	 13	 0	 2	 0	 0	 2053.89	 
6	 190	 7	 0	 1	 0	 15	 0	 2	 1	 0	 1605.77	 
6	 191	 17	 0	 2	 2	 3	 0	 0	 1	 0	 1499.86	 
6	 192	 17	 0	 2	 2	 4	 1	 0	 1	 0	 1203.02	 
6	 193	 7	 0	 1	 0	 5	 0	 0	 2	 0	 1197.38	 
6	 194	 17	 0	 2	 2	 7	 0	 1	 0	 0	 1272.53	 
6	 195	 3	 0	 0	 1	 10	 1	 1	 1	 0	 1487.87	 
6	 196	 16	 1	 2	 1	 8	 1	 1	 0	 0	 1861.79	 
6	 197	 6	 1	 0	 2	 6	 1	 0	 2	 1	 1866.32	 
6	 198	 17	 0	 2	 2	 16	 1	 2	 1	 1	 1622.42	 
6	 199	 14	 1	 2	 0	 10	 1	 1	 1	 0	 1203.87	 
6	 200	 14	 1	 2	 0	 18	 1	 2	 2	 0	 1247.53	 
6	 201	 5	 0	 0	 2	 4	 1	 0	 1	 1	 1010.67	 
6	 202	 14	 1	 2	 0	 17	 0	 2	 2	 1	 1445.36	 
6	 203	 3	 0	 0	 1	 12	 1	 1	 2	 0	 1234.00	 
6	 204	 6	 1	 0	 2	 1	 0	 0	 0	 1	 1566.81	 
6	 205	 12	 1	 1	 2	 18	 1	 2	 2	 0	 2061.06	 
6	 206	 15	 0	 2	 1	 9	 0	 1	 1	 0	 1238.19	 
6	 207	 1	 0	 0	 0	 7	 0	 1	 0	 0	 1138.50	 
6	 208	 11	 0	 1	 2	 5	 0	 0	 2	 0	 1194.51	 
6	 209	 6	 1	 0	 2	 11	 0	 1	 2	 0	 1018.68	 
6	 210	 12	 1	 1	 2	 9	 0	 1	 1	 1	 1271.62	 
6	 211	 11	 0	 1	 2	 3	 0	 0	 1	 0	 1085.93	 
6	 212	 4	 1	 0	 1	 11	 0	 1	 2	 0	 940.85	 
6	 213	 8	 1	 1	 0	 11	 0	 1	 2	 1	 974.12	 
6	 214	 13	 0	 2	 0	 9	 0	 1	 1	 0	 1209.63	 
6	 215	 16	 1	 2	 1	 5	 0	 0	 2	 0	 1238.11	 
6	 216	 5	 0	 0	 2	 1	 0	 0	 0	 1	 1378.69	 
6	 217	 15	 0	 2	 1	 17	 0	 2	 2	 0	 866.33	 
6	 218	 6	 1	 0	 2	 10	 1	 1	 1	 0	 1094.75	 
6	 219	 9	 0	 1	 1	 10	 1	 1	 1	 1	 1071.31	 
6	 220	 11	 0	 1	 2	 2	 1	 0	 0	 0	 1110.01	 
