subject	 trial	 image1	 image1tex	 image1shape	 image1scene	 image2	 image2tex	 image2shape	 image2scene	 answer	 RT	
9	 1	 15	 0	 2	 1	 7	 0	 1	 0	 0	 2348.58	 
9	 2	 9	 0	 1	 1	 6	 1	 0	 2	 0	 1404.87	 
9	 3	 12	 1	 1	 2	 10	 1	 1	 1	 1	 1075.14	 
9	 4	 6	 1	 0	 2	 17	 0	 2	 2	 0	 1132.44	 
9	 5	 10	 1	 1	 1	 14	 1	 2	 0	 0	 1138.94	 
9	 6	 11	 0	 1	 2	 16	 1	 2	 1	 0	 1065.23	 
9	 7	 14	 1	 2	 0	 2	 1	 0	 0	 0	 1671.85	 
9	 8	 4	 1	 0	 1	 3	 0	 0	 1	 1	 1004.20	 
9	 9	 4	 1	 0	 1	 2	 1	 0	 0	 1	 1003.20	 
9	 10	 9	 0	 1	 1	 15	 0	 2	 1	 0	 1407.52	 
9	 11	 15	 0	 2	 1	 17	 0	 2	 2	 1	 1329.30	 
9	 12	 13	 0	 2	 0	 10	 1	 1	 1	 0	 1010.39	 
9	 13	 16	 1	 2	 1	 2	 1	 0	 0	 0	 930.39	 
9	 14	 8	 1	 1	 0	 9	 0	 1	 1	 1	 929.49	 
9	 15	 2	 1	 0	 0	 6	 1	 0	 2	 1	 795.25	 
9	 16	 13	 0	 2	 0	 17	 0	 2	 2	 1	 1134.91	 
9	 17	 8	 1	 1	 0	 10	 1	 1	 1	 1	 992.01	 
9	 18	 16	 1	 2	 1	 17	 0	 2	 2	 1	 1125.61	 
9	 19	 1	 0	 0	 0	 6	 1	 0	 2	 1	 996.34	 
9	 20	 2	 1	 0	 0	 9	 0	 1	 1	 0	 1195.66	 
9	 21	 11	 0	 1	 2	 7	 0	 1	 0	 1	 923.88	 
9	 22	 10	 1	 1	 1	 11	 0	 1	 2	 1	 871.35	 
9	 23	 13	 0	 2	 0	 18	 1	 2	 2	 1	 1000.85	 
9	 24	 4	 1	 0	 1	 7	 0	 1	 0	 0	 867.57	 
9	 25	 1	 0	 0	 0	 8	 1	 1	 0	 0	 1012.89	 
9	 26	 7	 0	 1	 0	 14	 1	 2	 0	 0	 1130.83	 
9	 27	 3	 0	 0	 1	 10	 1	 1	 1	 0	 1073.60	 
9	 28	 18	 1	 2	 2	 17	 0	 2	 2	 1	 995.44	 
9	 29	 17	 0	 2	 2	 2	 1	 0	 0	 0	 1067.29	 
9	 30	 6	 1	 0	 2	 1	 0	 0	 0	 1	 1002.53	 
9	 31	 13	 0	 2	 0	 15	 0	 2	 1	 1	 1134.69	 
9	 32	 13	 0	 2	 0	 7	 0	 1	 0	 0	 1325.76	 
9	 33	 1	 0	 0	 0	 16	 1	 2	 1	 0	 1139.73	 
9	 34	 12	 1	 1	 2	 13	 0	 2	 0	 0	 1135.66	 
9	 35	 16	 1	 2	 1	 9	 0	 1	 1	 0	 1061.26	 
9	 36	 2	 1	 0	 0	 14	 1	 2	 0	 0	 930.47	 
