subject	 trial	 image1	 image1tex	 image1shape	 image1scene	 image2	 image2tex	 image2shape	 image2scene	 answer	 RT	
7	 1	 15	 0	 2	 1	 16	 1	 2	 1	 1	 10928.22	 
7	 2	 2	 1	 0	 0	 8	 1	 1	 0	 0	 1963.61	 
7	 3	 16	 1	 2	 1	 7	 0	 1	 0	 0	 1925.53	 
7	 4	 9	 0	 1	 1	 1	 0	 0	 0	 1	 1929.98	 
7	 5	 5	 0	 0	 2	 18	 1	 2	 2	 0	 1941.09	 
7	 6	 16	 1	 2	 1	 13	 0	 2	 0	 1	 2129.09	 
7	 7	 18	 1	 2	 2	 4	 1	 0	 1	 0	 1262.41	 
7	 8	 13	 0	 2	 0	 18	 1	 2	 2	 1	 2114.40	 
7	 9	 1	 0	 0	 0	 3	 0	 0	 1	 1	 2496.44	 
7	 10	 12	 1	 1	 2	 5	 0	 0	 2	 0	 1929.35	 
7	 11	 10	 1	 1	 1	 8	 1	 1	 0	 1	 1674.27	 
7	 12	 5	 0	 0	 2	 13	 0	 2	 0	 0	 1390.55	 
7	 13	 16	 1	 2	 1	 18	 1	 2	 2	 1	 1461.34	 
7	 14	 1	 0	 0	 0	 2	 1	 0	 0	 1	 2801.97	 
7	 15	 6	 1	 0	 2	 16	 1	 2	 1	 0	 1465.92	 
7	 16	 1	 0	 0	 0	 1	 0	 0	 0	 1	 1801.94	 
7	 17	 16	 1	 2	 1	 11	 0	 1	 2	 0	 2507.08	 
7	 18	 8	 1	 1	 0	 7	 0	 1	 0	 1	 1940.18	 
7	 19	 13	 0	 2	 0	 5	 0	 0	 2	 0	 1596.07	 
7	 20	 13	 0	 2	 0	 17	 0	 2	 2	 1	 2977.49	 
7	 21	 16	 1	 2	 1	 15	 0	 2	 1	 1	 1462.43	 
7	 22	 9	 0	 1	 1	 6	 1	 0	 2	 0	 1267.97	 
7	 23	 7	 0	 1	 0	 9	 0	 1	 1	 1	 1530.12	 
7	 24	 10	 1	 1	 1	 12	 1	 1	 2	 1	 1390.38	 
7	 25	 6	 1	 0	 2	 5	 0	 0	 2	 1	 1261.11	 
7	 26	 5	 0	 0	 2	 6	 1	 0	 2	 1	 1136.26	 
7	 27	 14	 1	 2	 0	 11	 0	 1	 2	 0	 1662.99	 
7	 28	 12	 1	 1	 2	 1	 0	 0	 0	 0	 1395.61	 
7	 29	 12	 1	 1	 2	 4	 1	 0	 1	 0	 1201.17	 
7	 30	 15	 0	 2	 1	 11	 0	 1	 2	 0	 1528.27	 
7	 31	 17	 0	 2	 2	 15	 0	 2	 1	 1	 1736.70	 
7	 32	 2	 1	 0	 0	 11	 0	 1	 2	 0	 1336.82	 
7	 33	 2	 1	 0	 0	 10	 1	 1	 1	 0	 1938.72	 
7	 34	 16	 1	 2	 1	 3	 0	 0	 1	 0	 1662.59	 
7	 35	 6	 1	 0	 2	 18	 1	 2	 2	 0	 1422.68	 
7	 36	 16	 1	 2	 1	 2	 1	 0	 0	 0	 1061.48	 
7	 37	 18	 1	 2	 2	 15	 0	 2	 1	 1	 2553.97	 
7	 38	 8	 1	 1	 0	 12	 1	 1	 2	 1	 2139.59	 
7	 39	 5	 0	 0	 2	 16	 1	 2	 1	 0	 1673.03	 
7	 40	 2	 1	 0	 0	 13	 0	 2	 0	 0	 1601.57	 
7	 41	 14	 1	 2	 0	 8	 1	 1	 0	 0	 1463.58	 
7	 42	 11	 0	 1	 2	 6	 1	 0	 2	 0	 1869.14	 
7	 43	 8	 1	 1	 0	 15	 0	 2	 1	 0	 2928.24	 
7	 44	 9	 0	 1	 1	 3	 0	 0	 1	 0	 3169.80	 
7	 45	 3	 0	 0	 1	 5	 0	 0	 2	 1	 2062.71	 
7	 46	 11	 0	 1	 2	 1	 0	 0	 0	 0	 2130.78	 
7	 47	 2	 1	 0	 0	 15	 0	 2	 1	 0	 1730.46	 
7	 48	 18	 1	 2	 2	 2	 1	 0	 0	 0	 1732.73	 
7	 49	 11	 0	 1	 2	 8	 1	 1	 0	 1	 2456.22	 
7	 50	 15	 0	 2	 1	 2	 1	 0	 0	 0	 2236.59	 
7	 51	 4	 1	 0	 1	 5	 0	 0	 2	 1	 2963.40	 
7	 52	 5	 0	 0	 2	 9	 0	 1	 1	 0	 1601.04	 
7	 53	 3	 0	 0	 1	 16	 1	 2	 1	 0	 2714.58	 
7	 54	 5	 0	 0	 2	 3	 0	 0	 1	 1	 2595.27	 
7	 55	 13	 0	 2	 0	 3	 0	 0	 1	 0	 2062.09	 
7	 56	 17	 0	 2	 2	 8	 1	 1	 0	 0	 1997.14	 
7	 57	 7	 0	 1	 0	 12	 1	 1	 2	 0	 1992.10	 
7	 58	 18	 1	 2	 2	 18	 1	 2	 2	 1	 1670.10	 
7	 59	 2	 1	 0	 0	 14	 1	 2	 0	 0	 1267.86	 
7	 60	 14	 1	 2	 0	 1	 0	 0	 0	 0	 1399.06	 
7	 61	 9	 0	 1	 1	 15	 0	 2	 1	 0	 1200.35	 
7	 62	 17	 0	 2	 2	 9	 0	 1	 1	 0	 1528.58	 
7	 63	 10	 1	 1	 1	 18	 1	 2	 2	 0	 2257.12	 
7	 64	 12	 1	 1	 2	 14	 1	 2	 0	 0	 1528.25	 
7	 65	 13	 0	 2	 0	 11	 0	 1	 2	 0	 1266.76	 
7	 66	 10	 1	 1	 1	 7	 0	 1	 0	 1	 1596.14	 
7	 67	 18	 1	 2	 2	 3	 0	 0	 1	 0	 1806.41	 
7	 68	 4	 1	 0	 1	 17	 0	 2	 2	 0	 1330.34	 
7	 69	 1	 0	 0	 0	 10	 1	 1	 1	 0	 1931.78	 
7	 70	 3	 0	 0	 1	 7	 0	 1	 0	 0	 2694.71	 
7	 71	 7	 0	 1	 0	 13	 0	 2	 0	 0	 1868.71	 
7	 72	 1	 0	 0	 0	 9	 0	 1	 1	 0	 5514.68	 
7	 73	 11	 0	 1	 2	 17	 0	 2	 2	 0	 2023.64	 
7	 74	 3	 0	 0	 1	 4	 1	 0	 1	 1	 1406.66	 
7	 75	 9	 0	 1	 1	 7	 0	 1	 0	 1	 1540.22	 
7	 76	 13	 0	 2	 0	 10	 1	 1	 1	 0	 1936.37	 
7	 77	 16	 1	 2	 1	 4	 1	 0	 1	 0	 1528.27	 
7	 78	 4	 1	 0	 1	 13	 0	 2	 0	 0	 3104.96	 
7	 79	 18	 1	 2	 2	 10	 1	 1	 1	 0	 3149.92	 
7	 80	 6	 1	 0	 2	 4	 1	 0	 1	 1	 2915.14	 
7	 81	 10	 1	 1	 1	 6	 1	 0	 2	 0	 1798.65	 
7	 82	 3	 0	 0	 1	 9	 0	 1	 1	 0	 1735.48	 
7	 83	 3	 0	 0	 1	 2	 1	 0	 0	 1	 1925.10	 
7	 84	 1	 0	 0	 0	 14	 1	 2	 0	 0	 1127.86	 
7	 85	 12	 1	 1	 2	 6	 1	 0	 2	 0	 2258.31	 
7	 86	 6	 1	 0	 2	 9	 0	 1	 1	 0	 1396.71	 
7	 87	 5	 0	 0	 2	 7	 0	 1	 0	 0	 2297.63	 
7	 88	 4	 1	 0	 1	 4	 1	 0	 1	 1	 1058.53	 
7	 89	 7	 0	 1	 0	 1	 0	 0	 0	 0	 1128.79	 
7	 90	 9	 0	 1	 1	 2	 1	 0	 0	 0	 1339.29	 
7	 91	 2	 1	 0	 0	 5	 0	 0	 2	 1	 1406.60	 
7	 92	 1	 0	 0	 0	 11	 0	 1	 2	 0	 2059.16	 
7	 93	 14	 1	 2	 0	 15	 0	 2	 1	 1	 2002.09	 
7	 94	 14	 1	 2	 0	 5	 0	 0	 2	 0	 1527.55	 
7	 95	 7	 0	 1	 0	 8	 1	 1	 0	 1	 2108.32	 
7	 96	 4	 1	 0	 1	 6	 1	 0	 2	 0	 1458.68	 
7	 97	 15	 0	 2	 1	 14	 1	 2	 0	 1	 2679.57	 
7	 98	 17	 0	 2	 2	 13	 0	 2	 0	 1	 1805.91	 
7	 99	 16	 1	 2	 1	 1	 0	 0	 0	 0	 1540.98	 
7	 100	 15	 0	 2	 1	 8	 1	 1	 0	 1	 1335.12	 
7	 101	 10	 1	 1	 1	 4	 1	 0	 1	 0	 1200.29	 
7	 102	 13	 0	 2	 0	 7	 0	 1	 0	 0	 1528.94	 
7	 103	 1	 0	 0	 0	 13	 0	 2	 0	 0	 1738.04	 
7	 104	 8	 1	 1	 0	 10	 1	 1	 1	 1	 2537.60	 
7	 105	 10	 1	 1	 1	 13	 0	 2	 0	 0	 1807.23	 
7	 106	 15	 0	 2	 1	 18	 1	 2	 2	 1	 1792.39	 
7	 107	 1	 0	 0	 0	 12	 1	 1	 2	 0	 2230.33	 
