subject	 trial	 image1	 image1tex	 image1shape	 image1scene	 image2	 image2tex	 image2shape	 image2scene	 answer	 RT	
8	 70	 13	 0	 2	 0	 15	 0	 2	 1	 1	 1127.08	 
8	 71	 15	 0	 2	 1	 17	 0	 2	 2	 1	 1333.40	 
8	 72	 17	 0	 2	 2	 14	 1	 2	 0	 1	 999.03	 
8	 73	 9	 0	 1	 1	 2	 1	 0	 0	 0	 1601.57	 
8	 74	 1	 0	 0	 0	 14	 1	 2	 0	 0	 1472.97	 
8	 75	 2	 1	 0	 0	 15	 0	 2	 1	 0	 1061.10	 
8	 76	 14	 1	 2	 0	 17	 0	 2	 2	 1	 1128.38	 
8	 77	 6	 1	 0	 2	 5	 0	 0	 2	 1	 1135.48	 
8	 78	 4	 1	 0	 1	 4	 1	 0	 1	 1	 995.12	 
8	 79	 5	 0	 0	 2	 3	 0	 0	 1	 1	 1001.65	 
8	 80	 1	 0	 0	 0	 5	 0	 0	 2	 1	 1261.04	 
8	 81	 15	 0	 2	 1	 18	 1	 2	 2	 0	 1606.65	 
8	 82	 16	 1	 2	 1	 5	 0	 0	 2	 0	 1468.93	 
8	 83	 10	 1	 1	 1	 14	 1	 2	 0	 0	 1274.94	 
8	 84	 7	 0	 1	 0	 12	 1	 1	 2	 1	 1201.01	 
8	 85	 4	 1	 0	 1	 1	 0	 0	 0	 1	 1798.24	 
8	 86	 2	 1	 0	 0	 14	 1	 2	 0	 0	 1734.61	 
8	 87	 10	 1	 1	 1	 6	 1	 0	 2	 0	 2104.84	 
8	 88	 2	 1	 0	 0	 1	 0	 0	 0	 1	 4140.94	 
8	 89	 16	 1	 2	 1	 10	 1	 1	 1	 0	 2524.18	 
8	 90	 4	 1	 0	 1	 2	 1	 0	 0	 1	 996.40	 
8	 91	 13	 0	 2	 0	 10	 1	 1	 1	 0	 1285.74	 
8	 92	 18	 1	 2	 2	 1	 0	 0	 0	 0	 2337.41	 
8	 93	 7	 0	 1	 0	 5	 0	 0	 2	 0	 4062.98	 
8	 94	 11	 0	 1	 2	 14	 1	 2	 0	 0	 3313.37	 
8	 95	 11	 0	 1	 2	 17	 0	 2	 2	 0	 1597.94	 
8	 96	 2	 1	 0	 0	 6	 1	 0	 2	 1	 1931.55	 
8	 97	 5	 0	 0	 2	 14	 1	 2	 0	 0	 1402.29	 
8	 98	 1	 0	 0	 0	 11	 0	 1	 2	 0	 2055.93	 
8	 99	 2	 1	 0	 0	 10	 1	 1	 1	 0	 1068.26	 
8	 100	 8	 1	 1	 0	 11	 0	 1	 2	 1	 1592.36	 
8	 101	 3	 0	 0	 1	 17	 0	 2	 2	 0	 1200.22	 
8	 102	 5	 0	 0	 2	 6	 1	 0	 2	 1	 1596.44	 
8	 103	 6	 1	 0	 2	 14	 1	 2	 0	 0	 1056.63	 
8	 104	 16	 1	 2	 1	 18	 1	 2	 2	 1	 3144.54	 
8	 105	 3	 0	 0	 1	 15	 0	 2	 1	 0	 1467.46	 
8	 106	 8	 1	 1	 0	 12	 1	 1	 2	 1	 1138.87	 
8	 107	 17	 0	 2	 2	 1	 0	 0	 0	 0	 1134.10	 
8	 108	 13	 0	 2	 0	 12	 1	 1	 2	 0	 1599.85	 
8	 109	 7	 0	 1	 0	 1	 0	 0	 0	 0	 1326.41	 
8	 110	 13	 0	 2	 0	 4	 1	 0	 1	 0	 999.93	 
8	 111	 6	 1	 0	 2	 8	 1	 1	 0	 0	 1190.24	 
8	 112	 15	 0	 2	 1	 16	 1	 2	 1	 1	 1199.24	 
8	 113	 15	 0	 2	 1	 11	 0	 1	 2	 0	 1339.72	 
8	 114	 14	 1	 2	 0	 7	 0	 1	 0	 0	 1221.00	 
8	 115	 7	 0	 1	 0	 11	 0	 1	 2	 1	 1133.21	 
8	 116	 18	 1	 2	 2	 15	 0	 2	 1	 1	 2790.06	 
8	 117	 11	 0	 1	 2	 3	 0	 0	 1	 0	 2352.67	 
8	 118	 17	 0	 2	 2	 6	 1	 0	 2	 0	 2066.38	 
8	 119	 1	 0	 0	 0	 7	 0	 1	 0	 0	 2582.69	 
8	 120	 5	 0	 0	 2	 16	 1	 2	 1	 0	 1798.27	 
8	 121	 18	 1	 2	 2	 5	 0	 0	 2	 0	 3387.36	 
8	 122	 10	 1	 1	 1	 3	 0	 0	 1	 0	 1271.12	 
8	 123	 12	 1	 1	 2	 6	 1	 0	 2	 0	 2171.82	 
8	 124	 16	 1	 2	 1	 14	 1	 2	 0	 1	 1805.97	 
8	 125	 2	 1	 0	 0	 13	 0	 2	 0	 0	 1339.18	 
8	 126	 4	 1	 0	 1	 14	 1	 2	 0	 0	 1273.51	 
8	 127	 3	 0	 0	 1	 14	 1	 2	 0	 0	 1071.91	 
8	 128	 16	 1	 2	 1	 16	 1	 2	 1	 1	 1592.68	 
8	 129	 11	 0	 1	 2	 18	 1	 2	 2	 0	 1606.63	 
8	 130	 15	 0	 2	 1	 9	 0	 1	 1	 1	 1066.65	 
8	 131	 6	 1	 0	 2	 4	 1	 0	 1	 1	 1004.70	 
8	 132	 16	 1	 2	 1	 6	 1	 0	 2	 0	 1057.60	 
8	 133	 12	 1	 1	 2	 3	 0	 0	 1	 0	 1460.87	 
8	 134	 4	 1	 0	 1	 16	 1	 2	 1	 0	 1196.78	 
8	 135	 5	 0	 0	 2	 5	 0	 0	 2	 1	 1339.22	 
8	 136	 12	 1	 1	 2	 8	 1	 1	 0	 1	 2819.71	 
8	 137	 13	 0	 2	 0	 7	 0	 1	 0	 0	 1888.02	 
8	 138	 1	 0	 0	 0	 4	 1	 0	 1	 1	 2077.40	 
8	 139	 16	 1	 2	 1	 15	 0	 2	 1	 0	 2692.43	 
