subject	 trial	 image1	 image1tex	 image1shape	 image1scene	 image2	 image2tex	 image2shape	 image2scene	 answer	 RT	
1	 1	 15	 0	 2	 1	 7	 0	 1	 0	 1	 3954.19	 
1	 2	 9	 0	 1	 1	 6	 1	 0	 2	 0	 1605.84	 
1	 3	 12	 1	 1	 2	 10	 1	 1	 1	 1	 1833.21	 
1	 4	 6	 1	 0	 2	 17	 0	 2	 2	 0	 1656.55	 
1	 5	 10	 1	 1	 1	 14	 1	 2	 0	 0	 2050.31	 
1	 6	 11	 0	 1	 2	 16	 1	 2	 1	 0	 2750.65	 
1	 7	 14	 1	 2	 0	 2	 1	 0	 0	 0	 1397.32	 
1	 8	 4	 1	 0	 1	 3	 0	 0	 1	 1	 1331.99	 
1	 9	 4	 1	 0	 1	 2	 1	 0	 0	 1	 876.26	 
1	 10	 9	 0	 1	 1	 15	 0	 2	 1	 0	 1343.94	 
1	 11	 15	 0	 2	 1	 17	 0	 2	 2	 1	 1676.29	 
1	 12	 13	 0	 2	 0	 10	 1	 1	 1	 0	 1470.22	 
1	 13	 16	 1	 2	 1	 2	 1	 0	 0	 0	 1344.17	 
1	 14	 8	 1	 1	 0	 9	 0	 1	 1	 1	 1361.01	 
1	 15	 2	 1	 0	 0	 6	 1	 0	 2	 1	 944.51	 
1	 16	 13	 0	 2	 0	 17	 0	 2	 2	 1	 1210.35	 
1	 17	 8	 1	 1	 0	 10	 1	 1	 1	 1	 1987.26	 
1	 18	 16	 1	 2	 1	 17	 0	 2	 2	 1	 1078.97	 
1	 19	 1	 0	 0	 0	 6	 1	 0	 2	 1	 1530.72	 
1	 20	 2	 1	 0	 0	 9	 0	 1	 1	 0	 1152.73	 
1	 21	 11	 0	 1	 2	 7	 0	 1	 0	 1	 2151.31	 
1	 22	 10	 1	 1	 1	 11	 0	 1	 2	 1	 1265.98	 
1	 23	 13	 0	 2	 0	 18	 1	 2	 2	 1	 875.69	 
1	 24	 4	 1	 0	 1	 7	 0	 1	 0	 0	 1070.37	 
1	 25	 1	 0	 0	 0	 8	 1	 1	 0	 0	 2010.18	 
1	 26	 7	 0	 1	 0	 14	 1	 2	 0	 1	 1218.20	 
1	 27	 3	 0	 0	 1	 10	 1	 1	 1	 0	 1666.70	 
1	 28	 18	 1	 2	 2	 17	 0	 2	 2	 1	 1144.44	 
1	 29	 17	 0	 2	 2	 2	 1	 0	 0	 0	 1822.03	 
1	 30	 6	 1	 0	 2	 1	 0	 0	 0	 1	 1010.69	 
1	 31	 13	 0	 2	 0	 15	 0	 2	 1	 1	 874.83	 
1	 32	 13	 0	 2	 0	 7	 0	 1	 0	 0	 1545.50	 
1	 33	 1	 0	 0	 0	 16	 1	 2	 1	 0	 1333.93	 
1	 34	 12	 1	 1	 2	 13	 0	 2	 0	 0	 1504.30	 
1	 35	 16	 1	 2	 1	 9	 0	 1	 1	 0	 1477.15	 
1	 36	 2	 1	 0	 0	 14	 1	 2	 0	 0	 1199.46	 
1	 37	 1	 0	 0	 0	 4	 1	 0	 1	 1	 811.10	 
1	 38	 4	 1	 0	 1	 9	 0	 1	 1	 0	 936.60	 
1	 39	 3	 0	 0	 1	 1	 0	 0	 0	 1	 1354.06	 
1	 40	 6	 1	 0	 2	 6	 1	 0	 2	 1	 869.86	 
1	 41	 4	 1	 0	 1	 10	 1	 1	 1	 0	 1264.88	 
1	 42	 14	 1	 2	 0	 18	 1	 2	 2	 1	 1009.34	 
1	 43	 10	 1	 1	 1	 8	 1	 1	 0	 1	 1015.93	 
1	 44	 17	 0	 2	 2	 15	 0	 2	 1	 1	 996.40	 
1	 45	 14	 1	 2	 0	 4	 1	 0	 1	 0	 999.61	 
1	 46	 16	 1	 2	 1	 1	 0	 0	 0	 0	 1616.38	 
1	 47	 14	 1	 2	 0	 8	 1	 1	 0	 0	 1466.99	 
1	 48	 9	 0	 1	 1	 8	 1	 1	 0	 1	 1270.18	 
1	 49	 15	 0	 2	 1	 4	 1	 0	 1	 0	 1133.66	 
1	 50	 4	 1	 0	 1	 18	 1	 2	 2	 0	 1070.44	 
1	 51	 7	 0	 1	 0	 7	 0	 1	 0	 1	 1077.41	 
1	 52	 11	 0	 1	 2	 1	 0	 0	 0	 0	 1132.44	 
1	 53	 11	 0	 1	 2	 6	 1	 0	 2	 0	 1077.89	 
1	 54	 18	 1	 2	 2	 3	 0	 0	 1	 0	 1329.98	 
1	 55	 15	 0	 2	 1	 6	 1	 0	 2	 0	 930.49	 
