subject	 trial	 image1	 image1tex	 image1shape	 image1scene	 image2	 image2tex	 image2shape	 image2scene	 answer	 RT	
2	 1	 15	 0	 2	 1	 16	 1	 2	 1	 1	 1684.84	 
2	 2	 2	 1	 0	 0	 8	 1	 1	 0	 0	 1339.99	 
2	 3	 16	 1	 2	 1	 7	 0	 1	 0	 0	 2151.60	 
2	 4	 9	 0	 1	 1	 1	 0	 0	 0	 0	 1145.37	 
2	 5	 5	 0	 0	 2	 18	 1	 2	 2	 0	 1351.63	 
2	 6	 16	 1	 2	 1	 13	 0	 2	 0	 1	 1397.75	 
2	 7	 18	 1	 2	 2	 4	 1	 0	 1	 0	 1070.58	 
2	 8	 13	 0	 2	 0	 18	 1	 2	 2	 1	 1645.67	 
2	 9	 1	 0	 0	 0	 3	 0	 0	 1	 1	 1338.43	 
2	 10	 12	 1	 1	 2	 5	 0	 0	 2	 0	 1231.57	 
2	 11	 10	 1	 1	 1	 8	 1	 1	 0	 1	 971.70	 
2	 12	 5	 0	 0	 2	 13	 0	 2	 0	 0	 1203.82	 
2	 13	 16	 1	 2	 1	 18	 1	 2	 2	 1	 1070.72	 
2	 14	 1	 0	 0	 0	 2	 1	 0	 0	 1	 1127.51	 
2	 15	 6	 1	 0	 2	 16	 1	 2	 1	 0	 1032.05	 
2	 16	 1	 0	 0	 0	 1	 0	 0	 0	 1	 1154.49	 
2	 17	 16	 1	 2	 1	 11	 0	 1	 2	 0	 1975.19	 
2	 18	 8	 1	 1	 0	 7	 0	 1	 0	 1	 1251.63	 
2	 19	 13	 0	 2	 0	 5	 0	 0	 2	 0	 1267.53	 
2	 20	 13	 0	 2	 0	 17	 0	 2	 2	 1	 1334.22	 
2	 21	 16	 1	 2	 1	 15	 0	 2	 1	 1	 1884.45	 
2	 22	 9	 0	 1	 1	 6	 1	 0	 2	 0	 1110.17	 
2	 23	 7	 0	 1	 0	 9	 0	 1	 1	 1	 1008.10	 
2	 24	 10	 1	 1	 1	 12	 1	 1	 2	 1	 939.07	 
2	 25	 6	 1	 0	 2	 5	 0	 0	 2	 1	 1070.22	 
2	 26	 5	 0	 0	 2	 6	 1	 0	 2	 1	 876.20	 
2	 27	 14	 1	 2	 0	 11	 0	 1	 2	 1	 1493.33	 
2	 28	 12	 1	 1	 2	 1	 0	 0	 0	 0	 1148.61	 
2	 29	 12	 1	 1	 2	 4	 1	 0	 1	 0	 1560.74	 
2	 30	 15	 0	 2	 1	 11	 0	 1	 2	 1	 1247.66	 
2	 31	 17	 0	 2	 2	 15	 0	 2	 1	 1	 1080.77	 
2	 32	 2	 1	 0	 0	 11	 0	 1	 2	 0	 864.71	 
2	 33	 2	 1	 0	 0	 10	 1	 1	 1	 0	 1127.55	 
2	 34	 16	 1	 2	 1	 3	 0	 0	 1	 1	 2003.12	 
2	 35	 6	 1	 0	 2	 18	 1	 2	 2	 0	 1472.19	 
2	 36	 16	 1	 2	 1	 2	 1	 0	 0	 0	 1111.97	 
2	 37	 18	 1	 2	 2	 15	 0	 2	 1	 1	 1545.79	 
2	 38	 8	 1	 1	 0	 12	 1	 1	 2	 1	 1018.80	 
2	 39	 5	 0	 0	 2	 16	 1	 2	 1	 0	 1152.17	 
2	 40	 2	 1	 0	 0	 13	 0	 2	 0	 0	 1420.28	 
2	 41	 14	 1	 2	 0	 8	 1	 1	 0	 0	 1897.98	 
2	 42	 11	 0	 1	 2	 6	 1	 0	 2	 0	 3515.96	 
2	 43	 8	 1	 1	 0	 15	 0	 2	 1	 0	 1617.89	 
2	 44	 9	 0	 1	 1	 3	 0	 0	 1	 0	 1288.36	 
2	 45	 3	 0	 0	 1	 5	 0	 0	 2	 1	 1580.19	 
2	 46	 11	 0	 1	 2	 1	 0	 0	 0	 0	 1144.63	 
2	 47	 2	 1	 0	 0	 15	 0	 2	 1	 0	 1242.46	 
2	 48	 18	 1	 2	 2	 2	 1	 0	 0	 0	 1002.02	 
2	 49	 11	 0	 1	 2	 8	 1	 1	 0	 1	 1282.24	 
2	 50	 15	 0	 2	 1	 2	 1	 0	 0	 0	 1476.32	 
2	 51	 4	 1	 0	 1	 5	 0	 0	 2	 1	 1146.95	 
2	 52	 5	 0	 0	 2	 9	 0	 1	 1	 0	 1260.70	 
2	 53	 3	 0	 0	 1	 16	 1	 2	 1	 0	 1268.90	 
2	 54	 5	 0	 0	 2	 3	 0	 0	 1	 1	 1132.78	 
2	 55	 13	 0	 2	 0	 3	 0	 0	 1	 0	 1292.59	 
2	 56	 17	 0	 2	 2	 8	 1	 1	 0	 1	 1670.67	 
2	 57	 7	 0	 1	 0	 12	 1	 1	 2	 1	 1066.76	 
2	 58	 18	 1	 2	 2	 18	 1	 2	 2	 1	 1291.38	 
2	 59	 2	 1	 0	 0	 14	 1	 2	 0	 0	 1076.01	 
2	 60	 14	 1	 2	 0	 1	 0	 0	 0	 0	 1340.58	 
2	 61	 9	 0	 1	 1	 15	 0	 2	 1	 1	 967.16	 
2	 62	 17	 0	 2	 2	 9	 0	 1	 1	 1	 1415.02	 
2	 63	 10	 1	 1	 1	 18	 1	 2	 2	 0	 1538.38	 
2	 64	 12	 1	 1	 2	 14	 1	 2	 0	 0	 1212.51	 
2	 65	 13	 0	 2	 0	 11	 0	 1	 2	 0	 2220.42	 
2	 66	 10	 1	 1	 1	 7	 0	 1	 0	 1	 1078.08	 
2	 67	 18	 1	 2	 2	 3	 0	 0	 1	 0	 1541.07	 
2	 68	 4	 1	 0	 1	 17	 0	 2	 2	 0	 1134.53	 
2	 69	 1	 0	 0	 0	 10	 1	 1	 1	 0	 1417.33	 
2	 70	 3	 0	 0	 1	 7	 0	 1	 0	 0	 1228.54	 
2	 71	 7	 0	 1	 0	 13	 0	 2	 0	 0	 1412.11	 
