subject	 trial	 image1	 image1tex	 image1shape	 image1scene	 image2	 image2tex	 image2shape	 image2scene	 answer	 RT	
10	 1	 15	 0	 2	 1	 16	 1	 2	 1	 1	 1285.77	 
10	 2	 2	 1	 0	 0	 8	 1	 1	 0	 0	 937.08	 
10	 3	 16	 1	 2	 1	 7	 0	 1	 0	 0	 931.76	 
10	 4	 9	 0	 1	 1	 1	 0	 0	 0	 0	 1003.18	 
10	 5	 5	 0	 0	 2	 18	 1	 2	 2	 0	 1059.30	 
10	 6	 16	 1	 2	 1	 13	 0	 2	 0	 1	 2248.64	 
10	 7	 18	 1	 2	 2	 4	 1	 0	 1	 0	 934.78	 
10	 8	 13	 0	 2	 0	 18	 1	 2	 2	 1	 930.58	 
10	 9	 1	 0	 0	 0	 3	 0	 0	 1	 1	 936.17	 
10	 10	 12	 1	 1	 2	 5	 0	 0	 2	 0	 867.30	 
10	 11	 10	 1	 1	 1	 8	 1	 1	 0	 1	 995.75	 
10	 12	 5	 0	 0	 2	 13	 0	 2	 0	 0	 863.18	 
10	 13	 16	 1	 2	 1	 18	 1	 2	 2	 1	 798.41	 
10	 14	 1	 0	 0	 0	 2	 1	 0	 0	 1	 939.91	 
10	 15	 6	 1	 0	 2	 16	 1	 2	 1	 0	 939.95	 
10	 16	 1	 0	 0	 0	 1	 0	 0	 0	 1	 875.79	 
10	 17	 16	 1	 2	 1	 11	 0	 1	 2	 0	 1202.52	 
10	 18	 8	 1	 1	 0	 7	 0	 1	 0	 1	 862.95	 
10	 19	 13	 0	 2	 0	 5	 0	 0	 2	 0	 992.06	 
10	 20	 13	 0	 2	 0	 17	 0	 2	 2	 1	 997.93	 
10	 21	 16	 1	 2	 1	 15	 0	 2	 1	 1	 1067.20	 
10	 22	 9	 0	 1	 1	 6	 1	 0	 2	 0	 1019.70	 
10	 23	 7	 0	 1	 0	 9	 0	 1	 1	 1	 859.51	 
10	 24	 10	 1	 1	 1	 12	 1	 1	 2	 1	 739.86	 
10	 25	 6	 1	 0	 2	 5	 0	 0	 2	 1	 863.60	 
10	 26	 5	 0	 0	 2	 6	 1	 0	 2	 1	 927.03	 
10	 27	 14	 1	 2	 0	 11	 0	 1	 2	 0	 1072.40	 
10	 28	 12	 1	 1	 2	 1	 0	 0	 0	 0	 998.31	 
10	 29	 12	 1	 1	 2	 4	 1	 0	 1	 0	 928.63	 
10	 30	 15	 0	 2	 1	 11	 0	 1	 2	 1	 1469.95	 
10	 31	 17	 0	 2	 2	 15	 0	 2	 1	 1	 1007.37	 
10	 32	 2	 1	 0	 0	 11	 0	 1	 2	 0	 790.50	 
10	 33	 2	 1	 0	 0	 10	 1	 1	 1	 0	 935.35	 
10	 34	 16	 1	 2	 1	 3	 0	 0	 1	 0	 1535.91	 
10	 35	 6	 1	 0	 2	 18	 1	 2	 2	 0	 994.65	 
10	 36	 16	 1	 2	 1	 2	 1	 0	 0	 0	 1000.04	 
10	 37	 18	 1	 2	 2	 15	 0	 2	 1	 1	 1269.79	 
10	 38	 8	 1	 1	 0	 12	 1	 1	 2	 1	 1013.23	 
10	 39	 5	 0	 0	 2	 16	 1	 2	 1	 0	 1270.48	 
10	 40	 2	 1	 0	 0	 13	 0	 2	 0	 0	 1070.49	 
10	 41	 14	 1	 2	 0	 8	 1	 1	 0	 0	 871.63	 
10	 42	 11	 0	 1	 2	 6	 1	 0	 2	 0	 868.32	 
10	 43	 8	 1	 1	 0	 15	 0	 2	 1	 0	 998.34	 
10	 44	 9	 0	 1	 1	 3	 0	 0	 1	 0	 1003.91	 
10	 45	 3	 0	 0	 1	 5	 0	 0	 2	 1	 1673.49	 
10	 46	 11	 0	 1	 2	 1	 0	 0	 0	 0	 991.80	 
10	 47	 2	 1	 0	 0	 15	 0	 2	 1	 0	 996.16	 
10	 48	 18	 1	 2	 2	 2	 1	 0	 0	 0	 930.28	 
10	 49	 11	 0	 1	 2	 8	 1	 1	 0	 1	 996.13	 
10	 50	 15	 0	 2	 1	 2	 1	 0	 0	 0	 1063.44	 
10	 51	 4	 1	 0	 1	 5	 0	 0	 2	 1	 1003.33	 
10	 52	 5	 0	 0	 2	 9	 0	 1	 1	 0	 1067.78	 
10	 53	 3	 0	 0	 1	 16	 1	 2	 1	 0	 991.68	 
10	 54	 5	 0	 0	 2	 3	 0	 0	 1	 0	 1007.15	 
10	 55	 13	 0	 2	 0	 3	 0	 0	 1	 0	 1207.97	 
10	 56	 17	 0	 2	 2	 8	 1	 1	 0	 0	 933.47	 
10	 57	 7	 0	 1	 0	 12	 1	 1	 2	 1	 868.21	 
10	 58	 18	 1	 2	 2	 18	 1	 2	 2	 0	 997.00	 
10	 59	 2	 1	 0	 0	 14	 1	 2	 0	 0	 1065.68	 
10	 60	 14	 1	 2	 0	 1	 0	 0	 0	 0	 936.79	 
10	 61	 9	 0	 1	 1	 15	 0	 2	 1	 0	 1407.37	 
10	 62	 17	 0	 2	 2	 9	 0	 1	 1	 0	 991.95	 
10	 63	 10	 1	 1	 1	 18	 1	 2	 2	 0	 992.44	 
10	 64	 12	 1	 1	 2	 14	 1	 2	 0	 0	 924.62	 
10	 65	 13	 0	 2	 0	 11	 0	 1	 2	 0	 2078.47	 
10	 66	 10	 1	 1	 1	 7	 0	 1	 0	 1	 794.31	 
10	 67	 18	 1	 2	 2	 3	 0	 0	 1	 0	 1203.26	 
10	 68	 4	 1	 0	 1	 17	 0	 2	 2	 0	 999.87	 
10	 69	 1	 0	 0	 0	 10	 1	 1	 1	 0	 1069.36	 
10	 70	 3	 0	 0	 1	 7	 0	 1	 0	 0	 927.79	 
10	 71	 7	 0	 1	 0	 13	 0	 2	 0	 0	 1261.87	 
10	 72	 1	 0	 0	 0	 9	 0	 1	 1	 0	 1541.04	 
10	 73	 11	 0	 1	 2	 17	 0	 2	 2	 0	 1396.87	 
10	 74	 3	 0	 0	 1	 4	 1	 0	 1	 1	 1468.75	 
10	 75	 9	 0	 1	 1	 7	 0	 1	 0	 1	 1274.45	 
