subject	 trial	 image1	 image1tex	 image1shape	 image1scene	 image2	 image2tex	 image2shape	 image2scene	 answer	 RT	
4	 1	 5	 0	 0	 2	 8	 1	 1	 0	 1	 5554.26	 
4	 2	 10	 1	 1	 1	 5	 0	 0	 2	 1	 10850.01	 
4	 3	 10	 1	 1	 1	 14	 1	 2	 0	 0	 3369.95	 
4	 4	 11	 0	 1	 2	 17	 0	 2	 2	 0	 2634.48	 
4	 5	 6	 1	 0	 2	 4	 1	 0	 1	 1	 4368.23	 
4	 6	 1	 0	 0	 0	 3	 0	 0	 1	 1	 2728.56	 
4	 7	 7	 0	 1	 0	 18	 1	 2	 2	 0	 4802.94	 
4	 8	 3	 0	 0	 1	 5	 0	 0	 2	 1	 43082.88	 
4	 9	 8	 1	 1	 0	 12	 1	 1	 2	 1	 2907.24	 
4	 10	 2	 1	 0	 0	 6	 1	 0	 2	 1	 4561.08	 
4	 11	 1	 0	 0	 0	 14	 1	 2	 0	 0	 2663.55	 
4	 12	 9	 0	 1	 1	 8	 1	 1	 0	 1	 1734.22	 
4	 13	 12	 1	 1	 2	 9	 0	 1	 1	 1	 2593.55	 
4	 14	 18	 1	 2	 2	 3	 0	 0	 1	 0	 2346.90	 
4	 15	 18	 1	 2	 2	 15	 0	 2	 1	 1	 3072.68	 
4	 16	 9	 0	 1	 1	 15	 0	 2	 1	 0	 2071.40	 
4	 17	 17	 0	 2	 2	 12	 1	 1	 2	 0	 5590.81	 
4	 18	 6	 1	 0	 2	 10	 1	 1	 1	 0	 2931.39	 
4	 19	 16	 1	 2	 1	 15	 0	 2	 1	 1	 2713.59	 
4	 20	 9	 0	 1	 1	 2	 1	 0	 0	 0	 4360.97	 
4	 21	 11	 0	 1	 2	 1	 0	 0	 0	 0	 2807.73	 
4	 22	 8	 1	 1	 0	 5	 0	 0	 2	 0	 2517.26	 
4	 23	 6	 1	 0	 2	 16	 1	 2	 1	 0	 2735.01	 
4	 24	 8	 1	 1	 0	 7	 0	 1	 0	 0	  88.15	 
4	 25	 11	 0	 1	 2	 14	 1	 2	 0	 0	 2839.63	 
4	 26	 5	 0	 0	 2	 5	 0	 0	 2	 1	 2622.77	 
