subject	 trial	 image1	 image1tex	 image1shape	 image1scene	 image2	 image2tex	 image2shape	 image2scene	 answer	 RT	
3	 1	 8	 1	 1	 0	 13	 0	 2	 0	 1	 6235.32	 
3	 2	 16	 1	 2	 1	 7	 0	 1	 0	 0	 3005.26	 
3	 3	 8	 1	 1	 0	 6	 1	 0	 2	 0	 3098.65	 
3	 4	 17	 0	 2	 2	 18	 1	 2	 2	 1	 2748.40	 
3	 5	 14	 1	 2	 0	 16	 1	 2	 1	 1	 2745.58	 
3	 6	 15	 0	 2	 1	 3	 0	 0	 1	 0	 2750.63	 
3	 7	 8	 1	 1	 0	 3	 0	 0	 1	 0	 2736.27	 
3	 8	 6	 1	 0	 2	 18	 1	 2	 2	 0	 2582.36	 
3	 9	 14	 1	 2	 0	 12	 1	 1	 2	 0	 3040.13	 
3	 10	 5	 0	 0	 2	 1	 0	 0	 0	 1	 2545.36	 
3	 11	 2	 1	 0	 0	 7	 0	 1	 0	 0	 2545.76	 
3	 12	 17	 0	 2	 2	 7	 0	 1	 0	 0	 2480.60	 
3	 13	 4	 1	 0	 1	 9	 0	 1	 1	 0	 2875.19	 
3	 14	 12	 1	 1	 2	 2	 1	 0	 0	 0	 2095.32	 
3	 15	 6	 1	 0	 2	 6	 1	 0	 2	 1	 1997.82	 
3	 16	 3	 0	 0	 1	 4	 1	 0	 1	 0	 1496.77	 
3	 17	 3	 0	 0	 1	 5	 0	 0	 2	 1	 2449.73	 
3	 18	 1	 0	 0	 0	 13	 0	 2	 0	 0	 1988.24	 
3	 19	 10	 1	 1	 1	 8	 1	 1	 0	 0	 3116.34	 
3	 20	 18	 1	 2	 2	 6	 1	 0	 2	 0	 2518.99	 
3	 21	 16	 1	 2	 1	 2	 1	 0	 0	 0	 2528.65	 
3	 22	 4	 1	 0	 1	 6	 1	 0	 2	 1	 2571.11	 
3	 23	 5	 0	 0	 2	 9	 0	 1	 1	 0	 2114.01	 
3	 24	 5	 0	 0	 2	 15	 0	 2	 1	 0	 2286.47	 
3	 25	 12	 1	 1	 2	 14	 1	 2	 0	 0	 2878.68	 
3	 26	 7	 0	 1	 0	 7	 0	 1	 0	 1	 1698.36	 
3	 27	 6	 1	 0	 2	 2	 1	 0	 0	 1	 1378.62	 
3	 28	 6	 1	 0	 2	 10	 1	 1	 1	 0	 1333.23	 
3	 29	 14	 1	 2	 0	 10	 1	 1	 1	 1	 1598.08	 
3	 30	 6	 1	 0	 2	 9	 0	 1	 1	 1	 1755.62	 
3	 31	 6	 1	 0	 2	 7	 0	 1	 0	 0	 2248.75	 
3	 32	 10	 1	 1	 1	 11	 0	 1	 2	 1	 1537.46	 
3	 33	 7	 0	 1	 0	 13	 0	 2	 0	 1	 2122.58	 
3	 34	 11	 0	 1	 2	 6	 1	 0	 2	 0	 1364.20	 
3	 35	 12	 1	 1	 2	 17	 0	 2	 2	 1	 2011.73	 
3	 36	 17	 0	 2	 2	 13	 0	 2	 0	 1	 2012.96	 
3	 37	 18	 1	 2	 2	 4	 1	 0	 1	 1	 1332.10	 
3	 38	 6	 1	 0	 2	 11	 0	 1	 2	 1	 1491.27	 
3	 39	 14	 1	 2	 0	 6	 1	 0	 2	 1	 1620.14	 
3	 40	 12	 1	 1	 2	 5	 0	 0	 2	 0	 1341.95	 
3	 41	 15	 0	 2	 1	 8	 1	 1	 0	 0	 1612.85	 
3	 42	 12	 1	 1	 2	 11	 0	 1	 2	 1	 1619.56	 
3	 43	 7	 0	 1	 0	 2	 1	 0	 0	 0	 1286.66	 
3	 44	 8	 1	 1	 0	 17	 0	 2	 2	 1	 1264.29	 
3	 45	 13	 0	 2	 0	 13	 0	 2	 0	 1	 1673.28	 
3	 46	 11	 0	 1	 2	 7	 0	 1	 0	 1	 1489.71	 
