subject	 trial	 image1	 image1tex	 image1shape	 image1scene	 image2	 image2tex	 image2shape	 image2scene	 answer	 RT	
5	 1	 15	 0	 2	 1	 7	 0	 1	 0	 1	 1970.81	 
5	 2	 9	 0	 1	 1	 6	 1	 0	 2	 0	 1223.12	 
5	 3	 12	 1	 1	 2	 10	 1	 1	 1	 1	 1102.28	 
5	 4	 6	 1	 0	 2	 17	 0	 2	 2	 0	 3993.16	 
5	 5	 10	 1	 1	 1	 14	 1	 2	 0	 0	 1121.01	 
5	 6	 11	 0	 1	 2	 16	 1	 2	 1	 0	 1467.27	 
5	 7	 14	 1	 2	 0	 2	 1	 0	 0	 0	 1187.88	 
5	 8	 4	 1	 0	 1	 3	 0	 0	 1	 1	 913.62	 
5	 9	 4	 1	 0	 1	 2	 1	 0	 0	 1	 950.75	 
5	 10	 9	 0	 1	 1	 15	 0	 2	 1	 0	 2651.96	 
5	 11	 15	 0	 2	 1	 17	 0	 2	 2	 1	 1377.67	 
5	 12	 13	 0	 2	 0	 10	 1	 1	 1	 0	 1062.10	 
5	 13	 16	 1	 2	 1	 2	 1	 0	 0	 0	 1067.01	 
5	 14	 8	 1	 1	 0	 9	 0	 1	 1	 1	 1057.01	 
5	 15	 2	 1	 0	 0	 6	 1	 0	 2	 1	 892.36	 
5	 16	 13	 0	 2	 0	 17	 0	 2	 2	 1	 1044.54	 
5	 17	 8	 1	 1	 0	 10	 1	 1	 1	 1	 833.75	 
5	 18	 16	 1	 2	 1	 17	 0	 2	 2	 1	 995.55	 
5	 19	 1	 0	 0	 0	 6	 1	 0	 2	 1	 862.48	 
5	 20	 2	 1	 0	 0	 9	 0	 1	 1	 0	 976.32	 
5	 21	 11	 0	 1	 2	 7	 0	 1	 0	 1	 994.71	 
5	 22	 10	 1	 1	 1	 11	 0	 1	 2	 1	 842.56	 
5	 23	 13	 0	 2	 0	 18	 1	 2	 2	 1	 1640.64	 
5	 24	 4	 1	 0	 1	 7	 0	 1	 0	 0	 1037.02	 
5	 25	 1	 0	 0	 0	 8	 1	 1	 0	 0	 955.10	 
5	 26	 7	 0	 1	 0	 14	 1	 2	 0	 0	 1137.58	 
5	 27	 3	 0	 0	 1	 10	 1	 1	 1	 0	 1249.94	 
5	 28	 18	 1	 2	 2	 17	 0	 2	 2	 1	 1309.11	 
5	 29	 17	 0	 2	 2	 2	 1	 0	 0	 0	 1076.92	 
5	 30	 6	 1	 0	 2	 1	 0	 0	 0	 1	 968.41	 
5	 31	 13	 0	 2	 0	 15	 0	 2	 1	 1	 985.55	 
5	 32	 13	 0	 2	 0	 7	 0	 1	 0	 0	 1015.88	 
5	 33	 1	 0	 0	 0	 16	 1	 2	 1	 0	 1154.65	 
